Регион,Наименование меры поддержки,Вид поддержки,Уровень поддержки,Суть механизма,Реквизиты НПА,Ссылка на НПА,Загрузить НПА,Ссылка на форму подачи заявки,"Наименование ответственного органа власти, администрирующего данную меру поддержки","Минимальный объем инвестиций, млн руб.",ОКВЭД,Ограничения по видам деятельности,Требуется вхождение в реестр МСП,Требования к заявителю,Процедура подачи заявки,Необходимые документы
Москва,"Подать заявку на присвоение статуса ""Инвестиционный приоритетный проект""",налоговые и тарифные льготы,региональные меры,"<p>Мера направлена на присвоение юридическим лицам и индивидуальным предпринимателям статуса &quot;Инвестиционный приоритетный проект&quot; города Москвы в целях получения региональных налоговых льгот и льгот по аренде земли.</p>

<p>Статус присваивается реализуемым на территории города Москвы инвестиционным проектам в отраслях экономической деятельности в сфере обрабатывающей промышленности, научных исследований и разработок, технических испытаний, исследований, анализа сертификации, информации и связи, деятельности в сфере образования, культуры и искусства, в сфере социального обслуживания населения престарелого возраста и инвалидов с обеспечением проживания, а также по следующим инвестиционным проектам:</p>

<p>по созданию промышленного комплекса;</p>

<p>по созданию индустриального парка;</p>

<p>по созданию технопарка;</p>

<p>проектам по созданию объектов в сфере социального обслуживания</p>
",Постановление Правительства Москвы от 11.02.2016 № 38-ПП &quot;О мерах по реализации промышленной и инвестиционной политике в городе Москве&quot;,https://www.mos.ru/upload/photobank/common/upload/11.02.2016_64-02-99_16_Sobyanin_S.S._Sergunina_N.A._0f3c58e6a4b97a7af2710d4c19b949c2.pdf,"https://gis-nsi.economy.gov.ru/MEDIA/getFile?id=e472dd5e-782a-44a2-96d1-75496fb192fe
",https://investmoscow.ru/catalog/195,Департамент инвестиционной и промышленной политики города Москвы,,"87 - Деятельность по уходу с обеспечением проживания;72 - Научные исследования и разработки;71 - Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа;63 - Деятельность в области информационных технологий;62 - Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги;61 - Деятельность в сфере телекоммуникаций;60 - Деятельность в области телевизионного и радиовещания;59 - Производство кинофильмов, видеофильмов и телевизионных программ, издание звукозаписей и нот;58 - Деятельность издательская;33 - Ремонт и монтаж машин и оборудования;32 - Производство прочих готовых изделий;31 - Производство мебели;30 - Производство прочих транспортных средств и оборудования;29 - Производство автотранспортных средств, прицепов и полуприцепов;28 - Производство машин и оборудования, не включенных в другие группировки;27 - Производство электрического оборудования;26 - Производство компьютеров, электронных и оптических изделий;25 - Производство готовых металлических изделий, кроме машин и оборудования;24 - Производство металлургическое;23 - Производство прочей неметаллической минеральной продукции;22 - Производство резиновых и пластмассовых изделий;21 - Производство лекарственных средств и материалов, применяемых в медицинских целях;20 - Производство химических веществ и химических продуктов;19 - Производство кокса и нефтепродуктов;18 - Деятельность полиграфическая и копирование носителей информации;17 - Производство бумаги и бумажных изделий;16 - Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения;15 - Производство кожи и изделий из кожи;14 - Производство одежды;13 - Производство текстильных изделий;12 - Производство табачных изделий;11- Производство напитков;10 - Производство пищевых продуктов","Производство пищевых продуктов; производство напитков; производство табачных изделий; производство текстильных изделий; производство одежды; производство кожи и изделий из кожи; обработка дренвесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения; производство бумаги и бумажных изделий; деятельность полиграфическая и копирование носитеелй информации; производство кокса и нефтепродуктов; производство химических веществ и химических продуктов; производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии; производство резиновых и пластмассовых изделий; производство прочей неметаллической минеральной продукции; производство металлургическое; производство готовых металлических изделий кроме машин и оборудования; производство компьютеров, электронных и оптических изделий; производство электрического оборудования; производство машин и оборудования, не включенных в другие группировки; производство автотранспортных средств и оборудования; производство мебели; производство прочихх готовых изделий; ремонт и монтаж машин и оборудования; деятельность издательская; производство кинофильмов, видеофильмов и телевизионных программ, издание звукозаписей и нот; деятельность в области телевизионного и радиовещания; деятельность в сфере телекоммуникаций; разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги; деятельность в области информационных технологий; технические испытания, исследования, анализ и сертификация; научные исследования и разработки в области естественных и технических наук; деятельность по уходу с обеспечением проживания",Да,"1. Регистрация в качестве налогоплательщика на территории города Москвы.<br />
2. Отсутствие задолженности по налогам, сборам и иным обязательным платежам в федеральный бюджет, бюджет города Москвы, местные бюджеты.<br />
3. Отсутствие в отношении юридического лица, индивидуального предпринимателя процедуры ликвидации, банкротства.<br />
4. Отсутствие задолженности по арендной плате за земельные участки, принадлежащие на праве собственности городу Москве и используемые в ходе реализации инвестиционного проекта, претендующего на присвоение статуса.","<p>1. Подача заявки и её регистрация в Департаменте инвестиционной и промышленной политики города Москвы - 2 рабочих дня</p>

<p>2. Проверка комплектности документов со стороны Департамента инвестиционной и промышленной политики города Москвы - 2 рабочих дня</p>

<p>3.&nbsp;Проведение экспертизы Комиссией и подготовка&nbsp;протокола экспертизы - 33 рабочих дня.</p>

<p>4. Подготовка решения Департаментом инвестиционной и промышленной политики города Москвы на основе протокола комиссии&nbsp; - не позднее 3 рабочих дней.</p>
","1. Заявление на присвоение статуса инвестиционного приоритетного проекта города Москвы. В заявлении на присвоение статуса указывается согласие заявителей на выполнение обязательств по достижению показателей, предъявляемых к деятельности при реализации инвестиционного приоритетного проекта города Москвы, в объемах, не менее указанных в Перечне для каждого вида инвестиционного приоритетного проекта города Москвы.<br />
2. Бизнес-план инвестиционного проекта.<br />
3. Копия отчетности, содержащей сведения об изменениях капитала, по форме, утвержденной Министерством финансов Российской Федерации, в отношении каждого из заявителей и (или) в отношении лиц, которые соответствуют признакам, предусмотренным статьей 9 Федерального закона от 26 июля 2006 г. N 135-ФЗ &quot;О защите конкуренции&quot; (далее - Федеральный закон N 135-ФЗ), входящих в одну группу лиц с заявителями, если заявители планируют учитывать их показатели при расчете показателя, установленного пунктом 2.5 Перечня.<br />
4. Копии документов, подтверждающих полномочия заявителей на подачу документов от имени лиц, которые соответствуют признакам, предусмотренным статьей 9 Федерального закона N 135-ФЗ, входящих в одну группу лиц с заявителями, если заявители планируют учитывать их показатели при расчете показателя, установленного пунктом 2.5 Перечня."
Москва,"Подать заявку на присвоение статуса ""Промышленный комплекс""",налоговые и тарифные льготы,региональные меры,"<p>Мера направлена на присвоение юридическим лицам и индивидуальным предпринимателям, осуществляющим деятельность в сфере промышленности, научных исследований и разработок, статуса &quot;Промышленный комплекс&quot; в целях получения региональных налоговых льгот и льгот по аренде земли. Статус присваивается объектам капитального строительства и земельным участкам, на которых они расположены.</p>

<p>Предоставляются льготы по:</p>

<p>&bull; налогу на прибыль в региональной части (ставка 13,5% вместо 17% до 01.01.2025);</p>

<p>&bull; налогу на имущество (50% от исчисленной суммы налога);</p>

<p>&bull; земельному налогу (20% от исчисленной суммы налога);</p>

<p>&bull; арендной ставке по аренде земельного участка (0,3% от кадастровой стоимости).</p>

<p>Статус присваивается сроком на 10 лет с ежегодным подтверждением</p>
",Постановление Правительства Москвы от 11.02.2016 № 38-ПП &quot;О мерах по реализации промышленной и инвестиционной политике в городе Москве&quot;,https://www.mos.ru/upload/photobank/common/upload/11.02.2016_64-02-99_16_Sobyanin_S.S._Sergunina_N.A._0f3c58e6a4b97a7af2710d4c19b949c2.pdf,"https://gis-nsi.economy.gov.ru/MEDIA/getFile?id=fbb30775-d0bc-40b4-84c1-f580c202adb6
",https://investmoscow.ru/catalog/196,Департамент инвестиционной и промышленной политики города Москвы,,"72 - Научные исследования и разработки;68 - Операции с недвижимым имуществом;33 - Ремонт и монтаж машин и оборудования;32 - Производство прочих готовых изделий;31 - Производство мебели;30 - Производство прочих транспортных средств и оборудования;29 - Производство автотранспортных средств, прицепов и полуприцепов;28 - Производство машин и оборудования, не включенных в другие группировки;27 - Производство электрического оборудования;26 - Производство компьютеров, электронных и оптических изделий;25 - Производство готовых металлических изделий, кроме машин и оборудования;24 - Производство металлургическое;23 - Производство прочей неметаллической минеральной продукции;22 - Производство резиновых и пластмассовых изделий;21 - Производство лекарственных средств и материалов, применяемых в медицинских целях;20 - Производство химических веществ и химических продуктов;19 - Производство кокса и нефтепродуктов;18 - Деятельность полиграфическая и копирование носителей информации;17 - Производство бумаги и бумажных изделий;16 - Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения;15 - Производство кожи и изделий из кожи;14 - Производство одежды;13 - Производство текстильных изделий;11- Производство напитков;10 - Производство пищевых продуктов","Производство пищевых продуктов; производство напитков; производство табачных изделий; производство текстильных изделий; производство текстильных изделий; производство одежды; производство кожи и изделий из кожи; обработка дренвесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения; производство бумаги и бумажных изделий; деятельность полиграфическая и копирование носитеелй информации; производство кокса и нефтепродуктов; производство химических веществ и химических продуктов; производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии; производство резиновых и пластмассовых изделий; производство прочей неметаллической минеральной продукции; производство металлургическое; производство готовых металлических изделий кроме машин и оборудования; производство компьютеров, электронных и оптических изделий; производство электрического оборудования; производство машин и оборудования, не включенных в другие группировки; производство автотранспортных средств и оборудования; производство мебели; производство прочихх готовых изделий; ремонт и монтаж машин и оборудования; операции с недвижимым имуществом; научные исследования и разработки",Да,"1. Регистрация в качестве налогоплательщика на территории города Москвы.<br />
2. Отсутствие задолженности по налогам, сборам и иным обязательным платежам в федеральный бюджет, бюджет города Москвы, местные бюджеты.<br />
3. Отсутствие в отношении юридического лица, индивидуального предпринимателя процедуры ликвидации, банкротства.<br />
4. Отсутствие задолженности по арендной плате за земельные участки, принадлежащие на праве собственности городу Москве и используемые в ходе реализации инвестиционного проекта, претендующего на присвоение статуса.","<p>1. Подача заявки и её регистрация в Департаменте инвестиционной и промышленной политики города Москвы - 2 рабочих дня;</p>

<p>2.&nbsp;Проверка комплектности документов со стороны Департамента инвестиционной и промышленной политики города Москвы - 2 рабочих дня;</p>

<p>3. Проведение эксспертизы Комиссией и подготовка протокола экспертизы&nbsp;- 33 рабочих дня;</p>

<p>4. Подготовка решения Департаментом инвестиционной и промышленной политики города Москвы на основе протокола Комиссии - не позднее 3 рабочих дней.</p>
","1. Заявление на присвоение статуса инвестиционного приоритетного проекта города Москвы. В заявлении на присвоение статуса указывается согласие заявителей на выполнение обязательств по достижению показателей, предъявляемых к деятельности при реализации инвестиционного приоритетного проекта города Москвы, в объемах, не менее указанных в Перечне для каждого вида инвестиционного приоритетного проекта города Москвы.<br />
2. Бизнес-план инвестиционного проекта.<br />
3. Копия отчетности, содержащей сведения об изменениях капитала, по форме, утвержденной Министерством финансов Российской Федерации, в отношении каждого из заявителей и (или) в отношении лиц, которые соответствуют признакам, предусмотренным статьей 9 Федерального закона от 26 июля 2006 г. N 135-ФЗ &quot;О защите конкуренции&quot; (далее - Федеральный закон N 135-ФЗ), входящих в одну группу лиц с заявителями, если заявители планируют учитывать их показатели при расчете показателя, установленного пунктом 2.5 Перечня.<br />
4. Копии документов, подтверждающих полномочия заявителей на подачу документов от имени лиц, которые соответствуют признакам, предусмотренным статьей 9 Федерального закона N 135-ФЗ, входящих в одну группу лиц с заявителями, если заявители планируют учитывать их показатели при расчете показателя, установленного пунктом 2.5 Перечня."
Москва,"Подать заявку на присвоение статуса ""Индустриальный (промышленный) парк""",налоговые и тарифные льготы,региональные меры,"<p>Мера направлена на присвоение юридическим лицам и индивидуальным предпринимателям, осуществляющим деятельность в сфере промышленности, научных исследований и разработок, статуса &quot;Индустриальный парк&quot; в целях получения региональных налоговых льгот и льгот по аренде земли. Статус присваивается объектам капитального строительства и земельным участкам, на которых они расположены.</p>

<p>Предоставляются льготы по:</p>

<p>&bull; налогу на прибыль в региональной части (ставка 13,5% вместо 17% до 01.01.2025);</p>

<p>&bull; налогу на имущество (освобождение от уплаты налога);</p>

<p>&bull; земельному налогу (0,7% от исчисленной суммы налога);</p>

<p>&bull; арендной ставке по аренде земельного участка (0,01% от кадастровой стоимости).</p>

<p>Статус присваивается сроком на 10 лет с ежегодным подтверждением.</p>
",Постановление Правительства Москвы от 11.02.2016 № 38-ПП &quot;О мерах по реализации промышленной и инвестиционной политике в городе Москве&quot;,https://www.mos.ru/upload/photobank/common/upload/11.02.2016_64-02-99_16_Sobyanin_S.S._Sergunina_N.A._0f3c58e6a4b97a7af2710d4c19b949c2.pdf,"https://gis-nsi.economy.gov.ru/MEDIA/getFile?id=3c3d8205-3a98-46c5-903e-d7877e26f66c
",https://investmoscow.ru/catalog/197,Департамент инвестиционной и промышленной политики города Москвы,,"72 - Научные исследования и разработки;71 - Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа;63 - Деятельность в области информационных технологий;62 - Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги;61 - Деятельность в сфере телекоммуникаций;60 - Деятельность в области телевизионного и радиовещания;59 - Производство кинофильмов, видеофильмов и телевизионных программ, издание звукозаписей и нот;58 - Деятельность издательская;33 - Ремонт и монтаж машин и оборудования;32 - Производство прочих готовых изделий;31 - Производство мебели;30 - Производство прочих транспортных средств и оборудования;29 - Производство автотранспортных средств, прицепов и полуприцепов;28 - Производство машин и оборудования, не включенных в другие группировки;27 - Производство электрического оборудования;26 - Производство компьютеров, электронных и оптических изделий;25 - Производство готовых металлических изделий, кроме машин и оборудования;24 - Производство металлургическое;23 - Производство прочей неметаллической минеральной продукции;22 - Производство резиновых и пластмассовых изделий;21 - Производство лекарственных средств и материалов, применяемых в медицинских целях;20 - Производство химических веществ и химических продуктов;19 - Производство кокса и нефтепродуктов;18 - Деятельность полиграфическая и копирование носителей информации;17 - Производство бумаги и бумажных изделий;16 - Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения;15 - Производство кожи и изделий из кожи;14 - Производство одежды;13 - Производство текстильных изделий;12 - Производство табачных изделий;11- Производство напитков;10 - Производство пищевых продуктов","Производство пищевых продуктов; производство напитков; производство табачных изделий; производство текстильных изделий; производство одежды; производство кожи и изделий из кожи; обработка дренвесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения; производство бумаги и бумажных изделий; деятельность полиграфическая и копирование носитеелй информации; производство кокса и нефтепродуктов; производство химических веществ и химических продуктов; производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии; производство резиновых и пластмассовых изделий; производство прочей неметаллической минеральной продукции; производство металлургическое; производство готовых металлических изделий кроме машин и оборудования; производство компьютеров, электронных и оптических изделий; производство электрического оборудования; производство машин и оборудования, не включенных в другие группировки; производство автотранспортных средств и оборудования; производство мебели; производство прочихх готовых изделий; ремонт и монтаж машин и оборудования; деятельность издательская; производство кинофильмов, видеофильмов и телевизионных программ, издание звукозаписей и нот; деятельность в области телевизионного и радиовещания; деятельность в сфере телекоммуникаций; разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги; деятельность в области информационных технологий; технические испытания, исследования, анализ и сертификация; научные исследования и разработки в области естественных и технических наук",Да,"1. Регистрация в качестве налогоплательщика на территории города Москвы.<br />
2. Отсутствие задолженности по налогам, сборам и иным обязательным платежам в федеральный бюджет, бюджет города Москвы, местные бюджеты.<br />
3. Отсутствие в отношении юридического лица процедуры ликвидации, банкротства.<br />
4. Отсутствие задолженности по арендной плате за земельные участки, заявленные на присвоение статуса промышленного комплекса и находящиеся в собственности города Москвы.<br />
5. Наличие статуса участника инновационного кластера на территории города Москвы.<br />
6. Наличие решения Министерства промышленности и торговли Российской Федерации о соответствии индустриального (промышленного) парка и управляющей компании индустриального (промышленного) парка требованиям, предусмотренным постановлением Правительства Российской Федерации от 4 августа 2015 г. N 794 &quot;Об индустриальных (промышленных) парках и управляющих компаниях индустриальных (промышленных) парков&quot;","<p>1.&nbsp;Подача заявки и ее регистрация в Департаменте инвестиционной и промышленной политики города Москвы - 2 рабочих дня;</p>

<p>2.&nbsp;Проверка комплектности документов (Департамент инвестиционной и промышленной политики города Москвы) - 2 рабочих дня;</p>

<p>3.&nbsp;Проведение экспертизы - 30 рабочих дней;</p>

<p>4. Подготовка протокола экспертизы - 3 рабочих дня.</p>
","1. Заявление на присвоение статуса.<br />
2. Копия формы № 1-предприятие.<br />
3. Копия отчета о движении денежных средств за 5 календарных лет (в случае если заявитель представляет данную отчетность в налоговые органы).<br />
4. Копия декларации по налогу на прибыль организаций.<br />
5. Копия декларации 6-НДФЛ (начиная с 2016 года).<br />
6. Копия декларации по налогу на имущество организаций.<br />
7. Копия декларации по земельному налогу, если участки находятся в собственности заявителя.<br />
8. Копия налоговой декларации по налогу на добавленную стоимость, если заявитель осуществлял операции, которые не подлежат налогообложению (освобождаются от налогообложения) налогом на добавленную стоимость в соответствии с подпунктами 16, 16.1 пункта 3 статьи 149 Налогового кодекса Российской Федерации, в периоде, указанном в пункте 2.9 настоящего Порядка.<br />
9. Копия справки-подтверждения основного вида экономической деятельности, поданной в Фонд социального страхования РФ (ФСС).<br />
10. Копия формы 4-ФСС.<br />
11. Копии документов, подтверждающих полномочия лица на подписание и подачу документов от имени организации.<br />
12. Копия формы П-2 (инвест).<br />
13. Копия согласия на раскрытие налоговой тайны.<br />
14. Доверенность на осуществление заявителем действий, связанных с подачей заявления, от имени иных юридических лиц.<br />
15. Дополнительно для технопарков и индустриальных парков: согласие на осуществление деятельности в качестве управляющей компании с обязательством по представлению информации о показателях деятельности арендаторов технопарка, включая информацию о занимаемой ими площади, количестве рабочих мест на один квадратный метр занимаемой ими площади, сумме налогов, уплаченных в бюджет города Москвы, объеме инвестиций в инфраструктуру либо в собственные основные средства на территории технопарка/индустриального парка, и на заключение соглашения об информационном взаимодействии с ДПиИР/ДИиПП города Москвы.<br />
16. Дополнительно для индустриальных парков: документы, подтверждающие внесение сведений об индустриальном (промышленном) парке и управляющей компании индустриального (промышленного) парка в реестр индустриальных (промышленных) парков и управляющих компаний индустриальных (промышленных) парков в соответствии с постановлением Правительства Российской Федерации от 04.08.2015 № 794 &laquo;Об индустриальных (промышленных) парках и управляющих компаний индустриальных (промышленных) парков&raquo;, если заявитель подал заявление на присвоение статуса индустриального (промышленного) парка."
Москва,"Подать заявку на присвоение статуса резидента особой экономической зоны ""Технополис ""Москва""",налоговые и тарифные льготы,региональные меры,"Мера направлена на присвоение статуса резидента особой экономической зоны &quot;Технополис &quot;Москва&quot; в целях получения налоговых, таможенных и иных льгот",Постановление Правительства Москвы от 11.02.2016 № 38-ПП &quot;О мерах по реализации промышленной и инвестиционной политике в городе Москве&quot;,https://www.mos.ru/depr/documents/view/276215220/?utm_source=search&amp;utm_term=serp,"https://gis-nsi.economy.gov.ru/MEDIA/getFile?id=eec5f968-7e14-4895-92a3-4d4705b48ca3
",https://investmoscow.ru/catalog/198,Департамент инвестиционной и промышленной политики города Москвы,,"72 - Научные исследования и разработки;33 - Ремонт и монтаж машин и оборудования;32 - Производство прочих готовых изделий;31 - Производство мебели;30 - Производство прочих транспортных средств и оборудования;29 - Производство автотранспортных средств, прицепов и полуприцепов;28 - Производство машин и оборудования, не включенных в другие группировки;27 - Производство электрического оборудования;26 - Производство компьютеров, электронных и оптических изделий;25 - Производство готовых металлических изделий, кроме машин и оборудования;24 - Производство металлургическое;23 - Производство прочей неметаллической минеральной продукции;22 - Производство резиновых и пластмассовых изделий;21 - Производство лекарственных средств и материалов, применяемых в медицинских целях;20 - Производство химических веществ и химических продуктов;19 - Производство кокса и нефтепродуктов;18 - Деятельность полиграфическая и копирование носителей информации;17 - Производство бумаги и бумажных изделий;16 - Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения;15 - Производство кожи и изделий из кожи;14 - Производство одежды;13 - Производство текстильных изделий;12 - Производство табачных изделий;11- Производство напитков;10 - Производство пищевых продуктов","Производство пищевых продуктов; производство напитков; производство табачных изделий; производство текстильных изделий; производство одежды; производство кожи и изделий из кожи; обработка дренвесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения; производство бумаги и бумажных изделий; деятельность полиграфическая и копирование носитеелй информации; производство кокса и нефтепродуктов; производство химических веществ и химических продуктов; производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии; производство резиновых и пластмассовых изделий; производство прочей неметаллической минеральной продукции; производство металлургическое; производство готовых металлических изделий кроме машин и оборудования; производство компьютеров, электронных и оптических изделий; производство электрического оборудования; производство машин и оборудования, не включенных в другие группировки; производство автотранспортных средств и оборудования; производство мебели; производство прочихх готовых изделий; ремонт и монтаж машин и оборудования; научные исследования и разработки",Да,"Правом на получение статуса резидента особой экономической зоны &quot;Технополис &quot;Москва&quot; обладают индивидуальные предприниматели или коммерческие организации (за исключением унитарного предприятия), зарегистрированные в соответствии с законодательством Российской Федерации на территории муниципального образования, в границах которого расположена особая экономическая зона, и заключившие с органами управления особыми экономическими зонами соглашение об осуществлении технико-внедренческой деятельности либо соглашение об осуществлении промышленно-производственной деятельности в особой экономической зоне","<p>1.&nbsp;Подача заявки и ее регистрация в Департаменте инвестиционной и промышленной политики города Москвы - 2 рабочих дня.</p>

<p>2.&nbsp;Документы направляются в Управляющую компанию особой экономической зоной для проведения оценки - 1 рабочий день.</p>

<p>3.&nbsp;Проведение экспертизы (Департамент инвестиционной и промышленной политики города Москвы, Управляющая компания) - 10 рабочих дней.</p>
","<p>1. Заявка на заключение соглашения, содержащая сведения, указанные в пунктах 1-5 части 1 статьи 13 Федерального закона от 22 июля 2005 г. N 116-ФЗ &quot;Об особых экономических зонах в Российской Федерации&quot;<br />
2. Копии учредительных документов (для юридических лиц).<br />
3. Бизнес-план, составленный по форме бизнес-планов, представляемых для заключения (изменения) соглашений о ведении промышленно-производственной (технико-внедренческой) деятельности, утвержденной Министерством экономического развития Российской Федерации<br />
4. Копия свидетельства о государственной регистрации юридического лица или индивидуального предпринимателя.<br />
5. Копия свидетельства о постановке на учет в налоговом органе.</p>

<p>*Заявление и прикрепленные документы должны обязательно быть подписаны электронной цифровой подписью (ЭЦП)</p>
"
